beginTime,classType,EventOccurred
2015-06-18T00:34Z,M1.2,1
2015-06-18T16:33Z,M3.0,1
2015-06-20T06:28Z,M1.0,1
2015-06-21T01:02Z,M2.0,1
2015-06-21T02:06Z,M2.6,1
2015-06-21T09:38Z,M3.8,1
2015-06-21T18:10Z,M1.1,1
2015-06-22T17:39Z,M6.5,1
2015-06-24T15:14Z,C5.6,1
2015-06-25T08:02Z,M7.9,1
2015-06-29T17:58Z,C2.4,1
2015-07-03T12:47Z,M1.5,1
2015-07-06T08:24Z,M1.0,1
2015-07-06T20:32Z,M1.7,1
2015-07-19T09:22Z,C2.1,1
2015-08-20T05:05Z,C3.4,1
2015-08-21T01:56Z,M1.2,1
2015-08-21T09:34Z,M1.4,1
2015-08-21T19:10Z,M1.1,1
2015-08-22T06:39Z,M1.2,1
2015-08-22T13:17Z,M2.2,1
2015-08-22T21:19Z,M3.5,1
2015-08-24T07:26Z,M5.6,1
2015-08-24T17:40Z,M1.0,1
2015-08-27T04:48Z,M2.9,1
2015-08-28T13:04Z,M2.2,1
2015-08-28T18:56Z,M2.1,1
2015-08-30T02:01Z,M1.4,1
2015-09-11T21:30Z,C1.3,1
2015-09-20T04:55Z,M1.5,1
2015-09-20T17:32Z,M2.1,1
2015-09-27T10:20Z,M1.9,1
2015-09-27T20:54Z,M1.0,1
2015-09-28T03:45Z,M3.6,1
2015-09-28T07:27Z,M1.1,1
2015-09-28T13:01Z,M1.1,1
2015-09-28T14:53Z,M7.6,1
2015-09-29T03:11Z,M1.2,1
2015-09-29T03:41Z,M1.1,1
2015-09-29T04:41Z,C5.1,1
2015-09-29T05:05Z,M2.9,1
2015-09-29T05:33Z,M1.2,1
2015-09-29T05:53Z,M1.0,1
2015-09-29T06:15Z,C8.6,1
2015-09-29T06:39Z,M1.4,1
2015-09-29T08:46Z,M1.3,1
2015-09-29T09:22Z,C5.2,1
2015-09-29T11:09Z,M1.6,1
2015-09-29T19:20Z,M1.1,1
2015-09-30T10:49Z,M1.3,1
2015-09-30T13:18Z,M1.1,1
2015-10-01T13:03Z,M4.5,1
2015-10-02T00:08Z,M5.5,1
2015-10-02T12:21Z,M1.0,1
2015-10-02T17:10Z,M1.0,1
2015-10-04T02:36Z,M1.0,1
2015-10-15T23:27Z,M1.1,1
2015-10-16T06:11Z,M1.1,1
2015-10-17T20:09Z,M1.1,1
2015-10-17T20:35Z,M1.5,1
2015-10-22T02:13Z,C4.4,1
2015-10-29T01:03Z,C1.1,1
2015-10-31T17:48Z,M1.0,1
2015-11-03T18:43Z,C5.5,1
2015-11-04T03:20Z,M1.9,1
2015-11-04T08:47Z,C4.6,1
2015-11-04T11:56Z,M2.6,1
2015-11-04T13:30Z,M3.7,1
2015-11-09T12:49Z,M3.9,1
2015-12-01T07:59Z,C3.6,1
2015-12-16T08:34Z,C6.6,1
2015-12-21T00:52Z,M2.8,1
2015-12-21T10:09Z,M1.1,1
2015-12-22T03:15Z,M1.6,1
2015-12-22T13:06Z,C6.3,1
2015-12-23T00:23Z,M4.7,1
2015-12-24T01:49Z,M1.1,1
2015-12-28T11:20Z,M1.8,1
2015-12-29T10:11Z,C6.8,1
